ComplexName	GO description	FunCat description	subunits(Gene name)
ITGA9-ITGB1-ADAM3 complex	protein binding	protein binding	ITGB1;ITGA9;ADAM3;
NuMA-LGN-G-alpha-i-1 complex	mitotic cell cycle;mitotic cell cycle and cell cycle control;spindle pole body/centrosome and microtubule cycle	mitotic cell cycle;regulation of cell cycle;spindle assembly;centrosome cycle	GNAI1;GPSM2;NUMA1;
Itga9-Itgb1-Thbs1 complex	angiogenesis	angiogenesis	ITGB1;THBS1;ITGA9;
Axin-SMAD3 complex	TGF-beta-receptor signalling pathway;cytoplasm	transforming growth factor beta receptor signaling pathway;cytoplasm	AXIN1;SMAD3;
ITGA9-ITGB1-VEGFC complex	cell migration;cell adhesion;cell differentiation	cell migration;cell adhesion;cell differentiation	ITGB1;VEGFC;ITGA9;
ITGA9-ITGB1-VEGFA complex	angiogenesis	angiogenesis	ITGB1;VEGFA;ITGA9;
Ccd1-Dvl2-Rac complex	JNK cascade	JNK cascade	RAC1;DVL2;DIXDC1;
Dvl2-Rac complex	JNK cascade	JNK cascade	RAC1;DVL2;
SMAD3-E2F4/5-p107-DP1 complex	TGF-beta-receptor signalling pathway;cytoplasm	transforming growth factor beta receptor signaling pathway;cytoplasm	RBL1;SMAD3;TFDP1;E2F5;E2F4;
Ccd1-Dvl2 complex	JNK cascade	JNK cascade	DVL2;DIXDC1;
Ccd1-Axin complex	JNK cascade	JNK cascade	AXIN1;DIXDC1;
Mekk1-Axin complex	JNK cascade	JNK cascade	AXIN1;MAP3K1;
Axin-Mekk4 complex	JNK cascade	JNK cascade	MAP3K4;AXIN1;
Ccd1-Mekk4 complex	JNK cascade	JNK cascade	MAP3K4;DIXDC1;
Nkx3.2-SMAD1 complex	transcriptional control;transmembrane receptor protein serine/threonine kinase signalling pathways;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;transmembrane receptor protein serine/threonine kinase signaling pathway;nucleus"	SMAD1;NKX3-2;
Nkx3.2-SMAD1-SMAD4 complex	transcriptional control;transmembrane receptor protein serine/threonine kinase signalling pathways;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;transmembrane receptor protein serine/threonine kinase signaling pathway;nucleus"	SMAD1;SMAD4;NKX3-2;
Nkx3.2-SMAD1-SMAD4-HDAC1 complex	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;transmembrane receptor protein serine/threonine kinase signalling pathways;organization of chromosome structure;nucleus"	"DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;transmembrane receptor protein serine/threonine kinase signaling pathway;chromosome organization;nucleus"	HDAC1;SMAD1;SMAD4;NKX3-2;
Nkx3.2-SMAD1-SMAD4-HDAC-Sin3A complex	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;transmembrane receptor protein serine/threonine kinase signalling pathways;organization of chromosome structure;nucleus"	"DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;transmembrane receptor protein serine/threonine kinase signaling pathway;chromosome organization;nucleus"	HDAC1;SMAD1;SMAD4;NKX3-2;SIN3A;RBBP4;RBBP7;
"mTOR complex (MTOR, RAPTOR)"	cell growth / morphogenesis	cell morphogenesis;cell growth	MTOR;RPTOR;
ITGA9-ITGB1-ADAM8 complex	protein binding;cell adhesion;osteogenesis;bone	protein binding;cell adhesion;ossification;osteoclast differentiation	ITGB1;ADAM8;ITGA9;
SMAD7-SMURF2 complex	"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);regulation by binding / dissociation;protein binding;regulator of receptor activity;cytoplasm;nucleus"	protein ubiquitination;protein deubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;regulation of binding;protein binding;receptor regulator activity;cytoplasm;nucleus	SMAD7;SMURF2;
Axin-GSK-3-beta complex	Wnt signalling pathway	Wnt signaling pathway	AXIN1;GSK3B;
Axin-GSK-3-alpha complex	Wnt signalling pathway	Wnt signaling pathway	AXIN1;GSK3A;
Axin-beta-catenin complex	Wnt signalling pathway	Wnt signaling pathway	AXIN1;CTNNB1;
SMAD7-SMURF1 complex	"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);regulation by binding / dissociation;protein binding;regulator of receptor activity;cytoplasm;nucleus"	protein ubiquitination;protein deubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;regulation of binding;protein binding;receptor regulator activity;cytoplasm;nucleus	SMAD7;SMURF1;
SMAD7-SMURF1-TGF-beta receptor complex	"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);TGF-beta-receptor signalling pathway;cytoplasm"	protein ubiquitination;protein deubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;transforming growth factor beta receptor signaling pathway;cytoplasm	SMAD7;TGFBR1;TGFBR2;SMURF1;
Axin-PP2A A-PP2A C-GSK3-beta-beta-catenin complex	Wnt signalling pathway	Wnt signaling pathway	AXIN1;CTNNB1;GSK3B;PPP2R5A;
Smad2 homotrimer complex	transcription activation;TGF-beta-receptor signalling pathway	"positive regulation of transcription, DNA-templated;transforming growth factor beta receptor signaling pathway"	SMAD2;
Smad2-Smad3 complex	transcription activation;TGF-beta-receptor signalling pathway	"positive regulation of transcription, DNA-templated;transforming growth factor beta receptor signaling pathway"	SMAD2;SMAD3;
Smad2-Smad4 complex	transcription activation;TGF-beta-receptor signalling pathway	"positive regulation of transcription, DNA-templated;transforming growth factor beta receptor signaling pathway"	SMAD4;SMAD2;
Smad3-Smad4 complex	transcription activation;DNA binding;TGF-beta-receptor signalling pathway;nucleus	"positive regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus"	SMAD4;SMAD3;
Smad3 homotrimer complex	transcription activation;DNA binding;TGF-beta-receptor signalling pathway	"positive regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway"	SMAD3;
APC-Axin-1-beta-catenin complex	Wnt signalling pathway	Wnt signaling pathway	AXIN1;APC;CTNNB1;
TGF-beta-receptor type I homodimer complex	protein binding;TGF-beta-receptor signalling pathway;endoplasmic reticulum	protein binding;transforming growth factor beta receptor signaling pathway;endoplasmic reticulum	TGFBR1;
TGF-beta-receptor type II homodimer complex	protein binding;TGF-beta-receptor signalling pathway;endoplasmic reticulum	protein binding;transforming growth factor beta receptor signaling pathway;endoplasmic reticulum	TGFBR2;
60S APC containing complex	actin cytoskeleton;cytoplasm	actin cytoskeleton organization;cytoplasm	TUBG1;APC;IQGAP1;TUBA1A;
TFIID subcomplex	transcription initiation;transcriptional control;DNA binding;nucleus	"DNA-templated transcription, initiation;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus"	TAF4;TAF6;TAF5;TAF12;TAF9;
APC-IQGAP1-Rac1 complex	cell migration;cytoskeleton/structural proteins;cytoskeleton	cell migration;cytoskeleton organization;cytoskeleton	APC;IQGAP1;RAC1;
APC-IQGAP1-Cdc42 complex	cell migration;cytoskeleton/structural proteins;cytoskeleton	cell migration;cytoskeleton organization;cytoskeleton	APC;IQGAP1;CDC42;
EB1-APC-mDia1 complex	cell migration;microtubule cytoskeleton;microtubule cytoskeleton	cell migration;microtubule cytoskeleton organization;microtubule cytoskeleton	DIAPH1;MAPRE1;APC;
"Cohesin complex, incomplete (Stag3, Scp1, Ss181)"	M phase;chromosome segregation/division;DNA binding;organization of chromosome structure;chromosome	M phase;mitotic nuclear division;chromosome segregation;DNA binding;chromosome organization;chromosome	STAG3;SYCP1;SS18L1;
"p27-cyclinE-Cdk2 - Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, CKS1B, RBX1) complex"	"mitotic cell cycle;modification by phosphorylation, dephosphorylation, autophosphorylation;modification by ubiquitination, deubiquitination;REGULATION OF METABOLISM AND PROTEIN FUNCTION"	mitotic cell cycle;protein phosphorylation;protein dephosphorylation;protein autophosphorylation;protein ubiquitination;protein deubiquitination;regulation of biological process	CCNE1;CDK2;CDKN1B;CKS1B;RBX1;SKP1;SKP2;CUL1;
"Cohesin complex, incomplete (Stag3, Sycp3)"	M phase;chromosome segregation/division;DNA binding;organization of chromosome structure;chromosome	M phase;mitotic nuclear division;chromosome segregation;DNA binding;chromosome organization;chromosome	STAG3;SYCP3;
"Cohesin complex, incomplete (Stag3, Crest/Ss18I1)"	M phase;chromosome segregation/division;DNA binding;organization of chromosome structure;chromosome	M phase;mitotic nuclear division;chromosome segregation;DNA binding;chromosome organization;chromosome	STAG3;SS18L1;
"Cohesin complex, incomplete (Sycp2, Crest/Ss18I1)"	M phase;chromosome segregation/division;DNA binding;organization of chromosome structure;chromosome	M phase;mitotic nuclear division;chromosome segregation;DNA binding;chromosome organization;chromosome	SS18L1;SYCP2;
"Cohesin complex, incomplete (Smc4, Crest/Ss18I1)"	M phase;chromosome segregation/division;DNA binding;organization of chromosome structure;chromosome	M phase;mitotic nuclear division;chromosome segregation;DNA binding;chromosome organization;chromosome	SS18L1;SMC4;
"Cohesin complex, incomplete (Rec8, Crest/Ss18I1)"	M phase;chromosome segregation/division;DNA binding;organization of chromosome structure;chromosome	M phase;mitotic nuclear division;chromosome segregation;DNA binding;chromosome organization;chromosome	SS18L1;REC8;
"Cohesin complex, incomplete (Smc1b, Crest/Ss18I1)"	M phase;chromosome segregation/division;DNA binding;organization of chromosome structure;chromosome	M phase;mitotic nuclear division;chromosome segregation;DNA binding;chromosome organization;chromosome	SS18L1;SMC1B;
"Cohesin complex, incomplete (Sycp1, Crest/Ss18I1, Rec8)"	M phase;chromosome segregation/division;DNA binding;organization of chromosome structure;chromosome	M phase;mitotic nuclear division;chromosome segregation;DNA binding;chromosome organization;chromosome	SYCP1;SS18L1;REC8;
"Cohesin complex, incomplete (Smc1b, Sycp1, Crest/Ss18I1)"	M phase;chromosome segregation/division;DNA binding;organization of chromosome structure;chromosome	M phase;mitotic nuclear division;chromosome segregation;DNA binding;chromosome organization;chromosome	SYCP1;SS18L1;SMC1B;
"Cohesin complex, incomplete (Smc3, Sycp1, Crest/Ss18I1)"	M phase;chromosome segregation/division;DNA binding;organization of chromosome structure;chromosome	M phase;mitotic nuclear division;chromosome segregation;DNA binding;chromosome organization;chromosome	SYCP1;SS18L1;SMC3;
TGF-beta receptor II-TGF-beta3 complex	assembly of protein complexes;protein binding;TGF-beta-receptor signalling pathway;eukaryotic plasma membrane / membrane attached	protein complex assembly;protein binding;transforming growth factor beta receptor signaling pathway;plasma membrane	TGFB3;TGFBR2;
TGF-beta receptor II-TGF-beta1 complex	assembly of protein complexes;protein binding;TGF-beta-receptor signalling pathway;eukaryotic plasma membrane / membrane attached	protein complex assembly;protein binding;transforming growth factor beta receptor signaling pathway;plasma membrane	TGFB1;TGFBR2;
TGF-beta receptor II-TGF-beta receptor I-TGF-beta1 complex	TGF-beta-receptor signalling pathway;eukaryotic plasma membrane / membrane attached	transforming growth factor beta receptor signaling pathway;plasma membrane	TGFB1;TGFBR1;TGFBR2;
TGF-beta receptor II-TGF-beta receptor I-TGF-beta3 complex	TGF-beta-receptor signalling pathway;eukaryotic plasma membrane / membrane attached	transforming growth factor beta receptor signaling pathway;plasma membrane	TGFB3;TGFBR1;TGFBR2;
Drosha complex	RNA processing;RNA binding;nucleus	RNA processing;RNA binding;nucleus	DHX15;HNRNPH1;DDX17;DROSHA;DDX5;TARDBP;HNRNPM;DGCR8;
PAC3-PAC4 complex	assembly of protein complexes	protein complex assembly	PSMG4;PSMG3;
PAC1-PAC2 complex	protein folding and stabilization;assembly of protein complexes	protein stabilization;protein folding;protein complex assembly	PSMG1;PSMG2;
LAT2-ITGB1 complex	cell-cell adhesion	single organismal cell-cell adhesion	ITGB1;SLC7A8;
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, CKS1B, RBX1)"	"mitotic cell cycle;mitotic cell cycle and cell cycle control;modification by ubiquitination, deubiquitination"	mitotic cell cycle;regulation of cell cycle;protein ubiquitination;protein deubiquitination	CKS1B;RBX1;SKP1;SKP2;CUL1;
"Ubiquitin E3 ligase (Fbxl20, Skp1, Cul1)"	"modification by ubiquitination, deubiquitination;synaptic transmission;eukaryotic plasma membrane / membrane attached"	protein ubiquitination;protein deubiquitination;synaptic transmission;plasma membrane	FBXL20;SKP1;CUL1;
SMAD2-SMAD4-FAST1 complex	transcription activation;DNA binding;TGF-beta-receptor signalling pathway;nucleus	"positive regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus"	FOXH1;SMAD4;SMAD2;
SMAD2-FAST1 complex	DNA binding;TGF-beta-receptor signalling pathway;nucleus	DNA binding;transforming growth factor beta receptor signaling pathway;nucleus	FOXH1;SMAD2;
Multisynthetase complex	aminoacyl-tRNA-synthetases;cytoplasm;nucleus	aminoacyl-tRNA ligase activity;cytoplasm;nucleus	EEF1E1;EPRS;DARS;IARS;QARS;RARS;MARS;AIMP1;AIMP2;KARS;LARS;
BMP2-BRIA complex	TGF-beta-receptor signalling pathway;embryogenesis;cartilage;osteogenesis;bone	transforming growth factor beta receptor signaling pathway;maintenance of meristem identity;cartilage development;ossification;osteoclast differentiation	BMP2;BMP4;BMPR1A;
SKI-NCOR1-SIN3A-HDAC1 complex	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;DNA binding;organization of chromosome structure;nucleus"	"DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;DNA binding;chromosome organization;nucleus"	NCOR1;SKI;HDAC1;SIN3A;
hs4 enhancer complex (faster migrating complex)	transcriptional control;DNA binding;NIK-I-kappaB/NF-kappaB cascade;B-cell;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;I-kappaB kinase/NF-kappaB signaling;B cell differentiation;nucleus"	POU2F2;POU2F1;NFKB1;YY1;RELA;
hs4 enhancer complex (slow migrating complex)	transcriptional control;DNA binding;NIK-I-kappaB/NF-kappaB cascade;anti-apoptosis;B-cell;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;I-kappaB kinase/NF-kappaB signaling;negative regulation of apoptotic process;B cell differentiation;nucleus"	YY1;RELB;
Parvulin-associated pre-rRNP complex	ribosome biogenesis;nucleus	ribosome biogenesis;nucleus	RPL21;DHX15;RSL1D1;GAS8;NCL;FN1;RPL7A;RPL7;RPLP0;RPL13A;CDK11B;RPL10;RPL3;FBL;RPL18;RPS9;RPL6;RPL5;RPL13;CEBPZ;RRP1;RPL26;RPS8;RPS4X;RPL18A;RPS6;RPL10A;RPS3;RPL8;TUBA1B;RPL19;RPS3A;BOP1;TUBB5;DDX5;NOP58;MYBBP1A;DDX18;NIFK;DDX27;NOP2;GNL2;GTPBP4;MND1;RPL14;RRS1;RPL15;MRTO4;DDX56;NOP56;RPL4;EEF1G;EBNA1BP2;FTSJ3;PES1;DDX24;DDX21;RPF2;WDR12;RBM28;TPX2;PIN4;
mSin3A complex	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;DNA binding;organization of chromosome structure;nucleus"	"DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;DNA binding;chromosome organization;nucleus"	RBBP4;HDAC1;RBBP7;HDAC2;SIN3A;
